tradedate,ticker,price_last
2023-04-04,"PETR4       ",24.27
2023-04-05,"PETR4       ",24.35
2023-04-06,"PETR4       ",24
2023-04-10,"PETR4       ",24.51
2023-04-11,"PETR4       ",25.66
2023-04-12,"PETR4       ",25.85
2023-04-13,"PETR4       ",26.03
2023-04-14,"PETR4       ",26.3
2023-04-17,"PETR4       ",26.71
2023-04-18,"PETR4       ",27.39
2023-04-19,"PETR4       ",26.51
2023-04-20,"PETR4       ",26.69
2023-04-24,"PETR4       ",27.2
2023-04-25,"PETR4       ",27.09
2023-04-26,"PETR4       ",26.75
2023-04-27,"PETR4       ",26.1
2023-04-28,"PETR4       ",23.7
2023-05-02,"PETR4       ",22.74
2023-05-03,"PETR4       ",22.66
2023-05-04,"PETR4       ",23.02
2023-05-05,"PETR4       ",24
2023-05-08,"PETR4       ",24.51
2023-05-09,"PETR4       ",24.59
2023-05-10,"PETR4       ",24.53
2023-05-11,"PETR4       ",25.43
2023-05-12,"PETR4       ",26.25
2023-05-15,"PETR4       ",25.66
2023-05-16,"PETR4       ",26.3
2023-05-17,"PETR4       ",25.66
2023-05-18,"PETR4       ",25.81
2023-05-19,"PETR4       ",25.92
2023-05-22,"PETR4       ",25.62
2023-05-23,"PETR4       ",26.25
2023-05-24,"PETR4       ",26.65
2023-05-25,"PETR4       ",26.45
2023-05-26,"PETR4       ",26.8
2023-05-29,"PETR4       ",26.69
2023-05-30,"PETR4       ",26.39
2023-05-31,"PETR4       ",26.12
2023-06-01,"PETR4       ",26.96
2023-06-02,"PETR4       ",27.18
2023-06-05,"PETR4       ",27.47
2023-06-06,"PETR4       ",28.05
2023-06-07,"PETR4       ",28.87
2023-06-09,"PETR4       ",30.28
2023-06-12,"PETR4       ",30.81
2023-06-13,"PETR4       ",28.86
2023-06-14,"PETR4       ",30.1
2023-06-15,"PETR4       ",29.39
2023-06-16,"PETR4       ",29.64
2023-06-19,"PETR4       ",30.42
2023-06-20,"PETR4       ",30.57
2023-06-21,"PETR4       ",31.85
2023-06-22,"PETR4       ",31.45
2023-06-23,"PETR4       ",30.16
2023-06-26,"PETR4       ",30.84
2023-06-27,"PETR4       ",30.6
2023-06-28,"PETR4       ",30.89
2023-06-29,"PETR4       ",31.03
2023-06-30,"PETR4       ",29.53
2023-07-03,"PETR4       ",30.08
2023-07-04,"PETR4       ",30.15
2023-07-05,"PETR4       ",30.11
2023-07-06,"PETR4       ",29.65
2023-07-07,"PETR4       ",29.5
2023-07-10,"PETR4       ",29.55
2023-07-11,"PETR4       ",29.15
2023-07-12,"PETR4       ",29.17
2023-07-13,"PETR4       ",29.63
2023-07-14,"PETR4       ",29.05
2023-07-17,"PETR4       ",28.99
2023-07-18,"PETR4       ",28.83
2023-07-19,"PETR4       ",29.1
2023-07-20,"PETR4       ",29.13
2023-07-21,"PETR4       ",29.68
2023-07-24,"PETR4       ",30.3
2023-07-25,"PETR4       ",31
2023-07-26,"PETR4       ",31
2023-07-27,"PETR4       ",29.39
2023-07-28,"PETR4       ",29.76
2023-07-31,"PETR4       ",31.11
2023-08-01,"PETR4       ",30.6
2023-08-02,"PETR4       ",30.53
2023-08-03,"PETR4       ",30.92
2023-08-04,"PETR4       ",30
2023-08-07,"PETR4       ",30.19
2023-08-08,"PETR4       ",30.22
2023-08-09,"PETR4       ",30.46
2023-08-10,"PETR4       ",30.63
2023-08-11,"PETR4       ",30.56
2023-08-14,"PETR4       ",30.64
2023-08-15,"PETR4       ",30.86
2023-08-16,"PETR4       ",31.54
2023-08-17,"PETR4       ",31.44
2023-08-18,"PETR4       ",31.52
2023-08-21,"PETR4       ",31.3
2023-08-22,"PETR4       ",30.61
2023-08-23,"PETR4       ",32.24
2023-08-24,"PETR4       ",32.19
2023-08-25,"PETR4       ",31.97
2023-08-28,"PETR4       ",32.33
2023-08-29,"PETR4       ",32.4
2023-08-30,"PETR4       ",32.62
2023-08-31,"PETR4       ",31.94
2023-09-01,"PETR4       ",32.63
2023-09-04,"PETR4       ",32.29
2023-09-05,"PETR4       ",33.37
2023-09-06,"PETR4       ",33.52
2023-09-08,"PETR4       ",33.4
2023-09-11,"PETR4       ",33.37
2023-09-12,"PETR4       ",33.53
2023-09-13,"PETR4       ",33.03
2023-09-14,"PETR4       ",33.87
2023-09-15,"PETR4       ",33.89
2023-09-18,"PETR4       ",34.13
2023-09-19,"PETR4       ",34.21
2023-09-20,"PETR4       ",34.29
2023-09-21,"PETR4       ",33.76
2023-09-22,"PETR4       ",34.03
2023-09-25,"PETR4       ",34.25
2023-09-26,"PETR4       ",33.46
2023-09-27,"PETR4       ",34.52
2023-09-28,"PETR4       ",34.45
2023-09-29,"PETR4       ",34.64
2023-10-02,"PETR4       ",34.12
2023-10-03,"PETR4       ",33.97
2023-10-04,"PETR4       ",32.62
2023-10-05,"PETR4       ",32.73
2023-10-06,"PETR4       ",33.51
2023-10-09,"PETR4       ",34.95
2023-10-10,"PETR4       ",35.21
2023-10-11,"PETR4       ",35.12
2023-10-13,"PETR4       ",36.28
2023-10-16,"PETR4       ",36.68
2023-10-17,"PETR4       ",37.67
2023-10-18,"PETR4       ",38.52
2023-10-19,"PETR4       ",38.34
2023-10-20,"PETR4       ",37.85
2023-10-23,"PETR4       ",35.35
2023-10-24,"PETR4       ",35.88
2023-10-25,"PETR4       ",36.07
2023-10-26,"PETR4       ",35.7
2023-10-27,"PETR4       ",35.44
2023-10-30,"PETR4       ",35.08
2023-10-31,"PETR4       ",34.74
2023-11-01,"PETR4       ",35.12
2023-11-03,"PETR4       ",35.54
2023-11-06,"PETR4       ",35.51
2023-11-07,"PETR4       ",34.92
2023-11-08,"PETR4       ",34.17
2023-11-09,"PETR4       ",34.88
2023-11-10,"PETR4       ",34.72
2023-11-13,"PETR4       ",35.69
2023-11-14,"PETR4       ",36.18
2023-11-16,"PETR4       ",35.55
2023-11-20,"PETR4       ",36.74
2023-11-21,"PETR4       ",36.5
2023-11-22,"PETR4       ",35.16
2023-11-23,"PETR4       ",35.17
2023-11-24,"PETR4       ",35.27
2023-11-27,"PETR4       ",35.07
2023-11-28,"PETR4       ",35.6
2023-11-29,"PETR4       ",35.23
2023-11-30,"PETR4       ",35.91
2023-12-01,"PETR4       ",35.67
2023-12-04,"PETR4       ",34.91
2023-12-05,"PETR4       ",34.75
2023-12-06,"PETR4       ",33.5
2023-12-07,"PETR4       ",33.42
2023-12-08,"PETR4       ",34.49
2023-12-11,"PETR4       ",34.36
2023-12-12,"PETR4       ",34.08
2023-12-13,"PETR4       ",34.57
2023-12-14,"PETR4       ",35.32
2023-12-15,"PETR4       ",35.4
2023-12-18,"PETR4       ",35.84
2023-12-19,"PETR4       ",36.25
2023-12-20,"PETR4       ",36.38
2023-12-21,"PETR4       ",36.39
2023-12-22,"PETR4       ",36.74
2023-12-26,"PETR4       ",37.33
2023-12-27,"PETR4       ",37.36
2023-12-28,"PETR4       ",37.24
2024-01-02,"PETR4       ",37.78
2024-01-03,"PETR4       ",38.96
2024-01-04,"PETR4       ",38.63
2024-01-05,"PETR4       ",38.72
2024-01-08,"PETR4       ",38.43
2024-01-09,"PETR4       ",38.1
2024-01-10,"PETR4       ",37.75
2024-01-11,"PETR4       ",38.07
2024-01-12,"PETR4       ",38.17
2024-01-15,"PETR4       ",38.58
2024-01-16,"PETR4       ",38.1
2024-01-17,"PETR4       ",37.88
2024-01-18,"PETR4       ",37.73
2024-01-19,"PETR4       ",37.53
2024-01-22,"PETR4       ",37.7
2024-01-23,"PETR4       ",38.17
2024-01-24,"PETR4       ",37.88
2024-01-25,"PETR4       ",39.28
2024-01-26,"PETR4       ",39.96
2024-01-29,"PETR4       ",40.57
2024-01-30,"PETR4       ",40.32
2024-01-31,"PETR4       ",40.45
2024-02-01,"PETR4       ",41.57
2024-02-02,"PETR4       ",41.03
2024-02-05,"PETR4       ",41.21
2024-02-06,"PETR4       ",41.59
2024-02-07,"PETR4       ",42.2
2024-02-08,"PETR4       ",41.86
2024-02-09,"PETR4       ",41.3
2024-02-14,"PETR4       ",40.99
2024-02-15,"PETR4       ",42.3
2024-02-16,"PETR4       ",42.69
2024-02-19,"PETR4       ",42.9
2024-02-20,"PETR4       ",42.45
2024-02-21,"PETR4       ",42.51
2024-02-22,"PETR4       ",42.19
2024-02-23,"PETR4       ",41.9
2024-02-26,"PETR4       ",42.69
2024-02-27,"PETR4       ",42.63
2024-02-28,"PETR4       ",40.43
2024-02-29,"PETR4       ",40.14
2024-03-01,"PETR4       ",40.18
2024-03-04,"PETR4       ",40.08
2024-03-05,"PETR4       ",39.96
2024-03-06,"PETR4       ",40.84
2024-03-07,"PETR4       ",40.39
2024-03-08,"PETR4       ",36.12
2024-03-11,"PETR4       ",35.65
2024-03-12,"PETR4       ",36.82
